Kode,Nama Customer,Alamat,Telepon,Tipe,Sales,Aktif,PIC Kendala Bongkar,Kontak,user_define1,user_define2,user_define3,user_define4,user_define5,user_define6,user_define7,user_define8,npwp,Company,pkp,email,credit_limit,Kode Internal SAP,Kode Eksternal,commitments_amount,remaining_amount,oldest_open_item,Flag API,Cek Plafon Bank,Cek Plafon SAP,ID Telegram,Norek BRI,Oid
CUS24060003,PT. ANTAR GLOBAL PROSPERO,"JL. PROKLAMASI FISIKA 16, DESA SIDOMORO, KECAMATAN KEBOMAS GRESIK JAWA TIMUR",085843982421,Company,HARI KUSNANDAR,TRUE,,HARMAWAN SULISTIYO,,,,,0,0,0,,93.898.409.3-612.000,11,,agroscommbased@gmail.com,"108,000,000",2131349,2131349,"107,836,518","163,482",12.12.2025,,FALSE,FALSE,,,514
2100032,"SEMEN GRESIK, PT","JL. VETERAN, KEBOMAS",0356325001,Semen Indonesia Group,ADIB SUAIB,TRUE,,,,,,,0,0,0,,010614014051000,11,,,"50,000,000,000",2100032,2100032,"48,667,129,555","1,332,870,445",19.10.2025,,FALSE,FALSE,,,254
CUS25100006,KHOIRUL MEI DWI SULISTIYONO,"PULE RT.001 RW.003, KEL. BAKALAN PULE, KEC. TIKUNG, KAB. LAMONGAN, JAWA TIMUR",,Retail,PUTRA BAGUS FERMANSYAH,TRUE,,KHOIRUL MEI DWI SULISTIYONO,,,,,0,0,0,,706136025645000,11,,,0,2137461,2137461,0,0,,,FALSE,FALSE,,,667
CUS25110006,PT. GARAM NUSANTARA LESTARI,"DUSUN 01 / BLOK BLANGKO, KEL. KALIPASUNG, KEC. GEBANG, KAB. CIREBON, JAWA BARAT",083821269377,Company,PUTRA BAGUS FERMANSYAH,TRUE,,IJO MICHAEL HENDRI,,,,,0,0,0,,0746258086420000,11,,garamnusantaralestari@yahoo.com,0,2137658,2137658,0,0,,,FALSE,FALSE,,,673
2103575,"TRI PURWITA JAYA ABADI, C",JL ACHMAD YANI BARAT I NO.17,0,Company,RUDIANTO,TRUE,,,,,,,0,0,0,,,11,,,"471,000,000",2103575,2103575,"173,188,320","297,811,680",28.11.2025,,FALSE,FALSE,,,298
2103748,"CS2 POLA SEHAT, PT",JL YOS SUDARSO NO 143 KEBON BESAR BATUCEPER TANGERANG,0,Company,SEFTI MARDIANTI,TRUE,,,,,,,0,0,0,,,11,,,"1,000,000,000",2103748,2103748,"549,197,447","450,802,553",26.11.2025,,FALSE,FALSE,,,331
CUS25100003,PT. DHARMA KURNIA UTAMA,"CHR OFFICE, GRAND SLIPI TOWER, LT 9 UNIT O, JL. JEND. S PARMAN KAV. 22-24, KEL. PALMERAH, KEC, PALME",087770062610,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,198840035031000,11,,dharmakurniautama@gmail.com,"8,300,000",2137428,2137428,0,0,,,FALSE,FALSE,,,664
CUS25110001,PT. DANTOSAN PRECON PERKASA,"JL. RAYA KOSAMBI CURUG KM 2, KEL. WALAHAR, KEC. KLARI, KAB. KARAWANG, JAWA BARAT",0267431930,Company,RIKI NOVA SURYATMAJA,TRUE,,MOCHTAR SULAIMAN,,,,,0,0,0,,015131345431000,11,,info@precon.co.id,0,2137489,2137489,0,0,,,FALSE,FALSE,,,668
2100573,"SINAR INDOGREEN KENCANA,","JL. PONOKAWAN 8B RT. 001 RW. 002 KM. 27 SIDOARJO KRIAN, SIDO",0,Company,PUTRA BAGUS FERMANSYAH,TRUE,,IBU SISCA,,,,,0,0,0,,318007911603000,11,,,"2,770,000,000",2100573,2100573,"2,667,184,789","102,815,211",23.11.2025,,FALSE,FALSE,,,269
CUS25100004,PT. RBM LOGISTIK INDONESIA,"JL, MH THAMRIN KAV 28-30, KEL. GONDANGDIA, KEC. MENTENG, KOTA JAKARTA PUSAT, DKI JAKARTA",02129926863,Company,RIKI NOVA SURYATMAJA,TRUE,,AGUS AHAYA MILE,,,,,0,0,0,,0862465119453000,11,,agusamile@gmail.com,"20,000,000",2137130,2137130,0,0,,,FALSE,FALSE,,,665
CUS25070003,PT PRASADHA PAMUNAH LIMBAH INDUSTRI,"SAMPOERNA STRATEGIC SQUARE, JLN. JENDERAL SUDIRMAN KAV. 45-46, Desa/Kelurahan Karet Semanggi, Kec. S",,Company,ANDY ZUNAN HILMI,TRUE,,0218674042,,,,,0,0,0,,,11,,oss.admin-3@ppli.co.id,"1,800,000,000",2136597,,"943,170,000","856,830,000",20.12.2025,,FALSE,FALSE,,,624
2100025,SOLUSI BANGUN INDONESIA TBK.,GEDUNG TALAVERA SUITE LT 15 TALAVERA OFFICE PARK JL. LETJEN,02129898555,Semen Indonesia Group,ADIB SUAIB,TRUE,,,,,,,0,0,0,,010017077092000,11,,,"300,000,000,000",2100025,2100025,"159,855,198,405","140,144,801,595",25.11.2025,,FALSE,FALSE,,,253
CUS25110005,PT GAJAH MAHARDDHIKA PERKASA,"Jalan Margorejo Tangsi VI Nomor 18, Desa/Kelurahan Margorejo, Kec. Wonocolo, Kota Surabaya, Provinsi",,Company,ANDY ZUNAN HILMI,TRUE,,Bu Putri,,,,,0,0,0,,000000005759092,11,,,0,,,0,0,,,FALSE,FALSE,,,672
2300003,VARIA USAHA DHARMA SEGARA,"JL. VETERAN NO.171 A RT.02 RW.01, GENDING, GRESIK",0,Company,ADIB SUAIB,TRUE,,,,,,,0,0,0,,,11,,,"3,500,000,000",2300003,2300003,"2,692,013,218","807,986,782",18.11.2025,,FALSE,FALSE,,,472
2101406,"EKAMAS FORTUNA, PT","DESA GAMPINGAN NO.01 PO BOX 259 GAMPINGAN PAGAK, KAB. MALANG",0,Company,PUTRA BAGUS FERMANSYAH,TRUE,,BU AULIA,,,,,0,0,0,,013595608651000,11,,,"4,615,000,000",2101406,2101406,"4,081,182,411","533,817,589",26.11.2025,,FALSE,FALSE,,,281
CUS25110003,ARIF HANDOKO,"JL. PASIR KENCANA III N3, RT. 004 RW.008 KEL. MEKARJAYA, KEC. RANCASARI, KOTA BANDUNG",085294965919,Retail,RIKI NOVA SURYATMAJA,TRUE,,ARIF HANDOKO,,,,,0,0,0,,468295662423000,11,,,"5,000,000",2136652,2136652,0,0,,,FALSE,FALSE,,,670
2103613,"PANDU DUMADI LUHUR, PT",G-WALK W-2 NO.18 CITRALAND,0,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,,11,,,"50,000,000",2103613,2103613,"44,491,340","5,508,660",31.05.2025,,FALSE,FALSE,,,308
CUS25080003,IVAN TJAHJADI,"JL. GARUDA III NO. 6, RT.007 RW.001, KEL. PEKIRINGAN, KEC. KESAMBI, KOTA CIREBON, JAWA BARAT",,Retail,RIKI NOVA SURYATMAJA,TRUE,,IVAN TJAHJADI,,,,,0,0,0,,908212103426000,11,,,"5,000,000",2136737,2136737,0,0,,,FALSE,FALSE,,,630
CUS24120008,PT BERKAT JAYA DEVELOPMENT,"WATERPLACE RESIDENCE TOWER TOKAN B 01, Desa/Kelurahan Babatan, Kec. Wiyung, Surabaya",08112812151,Company,ARLI TRI WIGUNA,TRUE,,RIFQI RIF'AN FAUZI,,,,,0,0,0,,82.309.556.7-642.001,11,,legalbjd@gmail.com,0,2134440,2134440,0,0,,,FALSE,FALSE,,,571
CUS24050008,PT. SAMCO DWI PERKASA,JL AH WITONO KOMPLEK PASAR 1 RT 004 RW 001 KEL LINGGA JAYA KEC MANGKUBUMI TASIKMALAYA JAWA BARAT,0265 5600048,Company,ADIB SUAIB,TRUE,,0265 5600048,,,,,0,0,0,,0994 5202 0342 5000,11,,samcodwiperkasa@gmail.com,0,2132364,,0,0,,,FALSE,FALSE,,,511
2127945,"INDONESIA POWER, PT",JL. JENDRAL GATOT SUBROTO KAV 18 RT 005/ RW 004,0,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,,11,,,0,2127945,2127945,0,0,,,FALSE,FALSE,,,436
CUS25070004,PT. ARTHA KENCANA SOCOREJO,JL Tuban-Semarang KM 23 Desa Socorejo Kec Jenu Kab Tuban Jawa timur  62352,,Retail,RUDIANTO,FALSE,,,,,,,0,0,0,,100000002962172,11,,,0,2136628,,0,0,,,FALSE,FALSE,,,625
2100619,"BILDO BANGUN PERKASA, PT",JL DANAU SENTANI RAYA H1 B25 KAV.SAWOJAJAR - MALANG- JAWA TI,0341724862,Company,PUTRA BAGUS FERMANSYAH,TRUE,,BAPAK ANDRIONO,,,,,0,0,0,,718621584623000,11,,,"5,000,000",2100619,2100619,0,0,,,FALSE,FALSE,,,271
2100079,"SURYA BUANA SENTOSA, PT",JALAN PERAK TIMUR 220,0313293582,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,012560249631000,11,,,0,2100079,2100079,0,0,,,FALSE,FALSE,,,257
CUS24020006,YAYASAN SATYA VIDYA INDONESIA,"HR MUHAMMAD NO. 371, RT.006 RW.001, SONOKWIJENAN, SUKOMANUNGGAL, SURABAYA",083830799903,Retail,PUTRA BAGUS FERMANSYAH,TRUE,,SUMIANTO TANDI,,,,,0,0,0,,026226720604000,11,,,0,2131756,2131756,0,0,,,FALSE,FALSE,,,490
2100162,"SAMUDRAJAYA PRATAMA, PT",JL. PERAK TIMUR NO. 524-A RT.002 RW.003 PERAK UTAMA PABEAN,0,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,016211195613000,11,,,0,2100162,2100162,0,0,,,FALSE,FALSE,,,259
2100282,INDONESIA MARINA SHIPYARD,"JL. AMAK KASIM - SIDORUKUN, GRESIK",0215223414,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,021829742612001,11,,legalimsjkt@gmail.com,0,2100282,2100282,0,0,,,FALSE,FALSE,,,262
2100320,SUMBER BUANA JAYA,JLN ARTERI NO. 168 KELAPA DUA,0,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,023797152035000,11,,,0,2100320,2100320,0,0,,,FALSE,FALSE,,,263
2100337,TIANG AWAN LOGISTIK INDON,PERKANTORAN BUNCIT MAS BLOK B8 JL. MAMPANG PRAPATAN RAYA NO.,0,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,024870859014000,11,,,0,2100337,2100337,0,0,,,FALSE,FALSE,,,264
CUS25090011,,,,,,FALSE,,,,,,,0,0,0,,,,,,0,,,0,0,,,FALSE,FALSE,,,648
CUS25020005,PT. AGUS JAYA KARDUS,"JL. BYPASS NGURAH RAI (AREA MAGROVE), KEL. PEMOGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR",089604467672,Company,PUTRA BAGUS FERMANSYAH,TRUE,,AGUS NANDA YUDISTIRA,,,,,0,0,0,,07746019.4903000,11,,,"19,000,000",2135261,2135261,0,0,,,FALSE,FALSE,,,589
2100342,PANCA PUTERA CIPTA PERKAS,JL. BRIGJEND KERTARTO NO. 98 DESA/KEL. MOJONGAPIT,0321853031,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,025253642641000,11,,,0,2100342,2100342,0,0,,,FALSE,FALSE,,,266
CUS24020007,PT EUROINDO GLOBAL TRANSPORT,"GD. MENARA 165 LT.3 A2, JL. TB SIMATUPANG BLOK CILANDAK TIMUR, PASAR MINGGU KOTA, DKI JAKARTA",0811832099,Company,ANDY ZUNAN HILMI,TRUE,,SUHARYO IRIANTO,,,,,0,0,0,,508584851017000,11,,euroindoglobaltransport.pt@gmail.com,0,2131755,,0,0,,,FALSE,FALSE,,,491
CUS24040008,PT SEMEN PADANG,,,Company,ADIB SUAIB,TRUE,,,,,,,0,0,0,,,11,,,0,2100007,2100007,0,0,,,FALSE,FALSE,,,503
2100661,"TRI PUTRI MANUNGGAL JAYA,",KP. CILANGKAP RT/RW.002/001 DESA.SUKAMANAH KEC.RANGKASBITUNG,0,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,746546621419000,11,,,0,2100661,2100661,0,0,,,FALSE,FALSE,,,272
2100673,"ANDONG SURYA PERKASA, PT",RUKAN KARAWACI OFFICE PARK BLOK EXCELUS NO.52 PANUNGGANGAN B,0,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,759938160402000,11,,,0,2100673,2100673,0,0,,,FALSE,FALSE,,,273
2100679,SI INTERNATIONAL TRADING,105 CECIL STREET #06-02 H THE OCTAGON,0,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,765736160067000,11,,,0,2100679,2100679,0,0,,,FALSE,FALSE,,,274
2101089,"SINAR INDAH JAYA KENCANA,",KOMPLEKS INDUSTRI CIKEDOKAN RT 03 / RW 02 DS SUKADANA CIBITU,0,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,018098780431000,11,,,0,2101089,2101089,0,0,,,FALSE,FALSE,,,278
2101137,"PERMATA INDIKA MANDIRI, P","JL. CIATER RAYA NO.8 RUKO EASY READER RT.007 RW.010 SARUA, C",0,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,829554237453000,11,,,0,2101137,2101137,0,0,,,FALSE,FALSE,,,279
CUS25100001,PT. JAWA PRATAMA MANDIRI,"JL. KARAH AGUNG 45, KEL. JAMBANGAN, KEC. JAMBANGAN, KOTA SURABAYA, JAWA TIMUR",0318290606,Company,PUTRA BAGUS FERMANSYAH,TRUE,,LIBERT HUTAHAEAN,,,,,0,0,0,,016815144631000,11,,contact@jpmmandiri.com,"10,000,000",2136897,2136897,0,0,,,FALSE,FALSE,,,662
2100011,"SEMEN TONASA, PT","DESA BIRINGERE, PANGKAJENE KEPULAUAN BUNGORO",0410312345,Semen Indonesia Group,ADIB SUAIB,TRUE,,,,,,,0,0,0,,010004745051000,11,,,0,2100011,2100011,0,0,,,FALSE,FALSE,,,250
2101074,"TUNTAS SMART SOLUSI, PT",PERUM GRAND SOETOMO BLOK E-8 RT 004 RW 011 TLOGOPATUT GRESIK,0,Company,RIKI NOVA SURYATMAJA,FALSE,,,,,,,0,0,0,,947659561612000,11,,,0,2101074,2101074,0,0,,,FALSE,FALSE,,,277
2103394,"CITRA LUHUR MANDIRI, PT","DESA PADASAN CILIK, BARUKAN RT 01 RW 002 BARUKAN,MANISRENGGO",0,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,919233650525000,11,,,0,2103394,2103394,0,0,,,FALSE,FALSE,,,283
2103395,"SAMUDERA ELANG PERKASA, P",KEBAK JETIS RT. 01 RW. 09 NANGSRI KEBAK KRAMAT KARANGANYAR,0,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,866014038528000,11,,,0,2103395,2103395,0,0,,,FALSE,FALSE,,,284
2103396,TUDER KAPUR BUMI INDONESI,JL. RAYA SALE- LASEM KM.5 DK TUDER DESA WONOKERTO KEC. SALE,0,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,318228798507000,11,,,0,2103396,2103396,0,0,,,FALSE,FALSE,,,285
2103398,"SINGA GRAHA PERKASA, PT",KOMPLEK RUKO THE TAMAN DAYU BLOK F KARANGJATI PANDAAN PASURU,0,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,412259095624000,11,,,0,2103398,2103398,0,0,,,FALSE,FALSE,,,287
2103399,"LANCAR MAKMUR SAKTI, PT",JALAN RAYA PLOSOKANDANG NO 2 DUSUN KUDUSAN RT 001 RW 001 TUL,0,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,416541837629000,11,,,0,2103399,2103399,0,0,,,FALSE,FALSE,,,288
2103401,"SURYA GEMILANG RAYA, CV",PERUM PESONA PERMATA GADING I BLOK A NO 14 RT. 001 RW.015 BL,0,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,861341733617000,11,,,0,2103401,2103401,0,0,,,FALSE,FALSE,,,289
2103414,"SINAR INDAH KENCANA JAYA,",GUDANG CIBITUNG,0,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,,11,,,0,2103414,2103414,0,0,,,FALSE,FALSE,,,290
2103415,"PEMBAYARAN TUNAI, PT",PEMBAYARAN TUNAI,0,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,,11,,,0,2103415,2103415,0,0,,,FALSE,FALSE,,,291
2103430,"WIRA HANDAL SEJAHTERA, PT","RUKO CBD PALM BLOK B1 NO 21 PALM PARADISE,JL.BOULEVARD TAMAN",0,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,,11,,,0,2103430,2103430,0,0,,,FALSE,FALSE,,,292
2100137,"JASA PRIMA SEJAHTERA, PT",JL KRUKAH SELATAN 14-A/I,0,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,015106206609000,11,,,0,2100137,2100137,0,0,,,FALSE,FALSE,,,258
2100511,"KERETA API LOGISTIK, PT","JL. K.H. WAHID HASYIM NO.11A, JAKARTA PUSAT",0,Company,PUTRA BAGUS FERMANSYAH,TRUE,,MOCH JAWAWI,,,,,0,0,0,,211238829093000,11,,,"750,000,000",2100511,2100511,"686,611,300","63,388,700",29.01.2024,,FALSE,FALSE,,,267
2103397,"OKI PULP & PAPER MILLS, P",SINAR MAS LAND PLAZA TOWER II LT 9 JL. M.H THAMRIN NO 51 GON,0,Company,SEFTI MARDIANTI,TRUE,,,,,,,0,0,0,,032034811076000,11,,,0,2103397,2103397,0,0,,,FALSE,FALSE,,,286
2100188,KOPERASI KARYAWAN USAHA SEMEN GRESIK,RUKO KARTINI MEGAH BLOK A NO. 3 JL. KARTINI NO. 150-152,0313987835,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,017219718641000,11,,,0,2100188,2100188,0,0,,,FALSE,FALSE,,,261
2103444,PT KAWASAN INDUSTRI DUMAI,JL. PULAU SUMATERA KAWASAN INDUSTRI NO 1 PELINTUNG,0,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,,11,,,0,2103444,2103444,0,0,,,FALSE,FALSE,,,294
2103455,IKHSAN GROUP,"DS. MELIRANG RT.27 RW.10, BUNGAH, GRESIK",0,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,,11,,,0,2103455,2103455,0,0,,,FALSE,FALSE,,,295
2103570,"POLOWIJO GOSARI, PT","DESA SEKAPUK KM.32 SEKAPUK, UJUNG PANGKAH, KAB. GRESIK, JAWA",0,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,,11,,,0,2103570,2103570,0,0,,,FALSE,FALSE,,,296
CUS25050004,PT. SEMEN BANGUN ANDALAS,"TALAVERA SUITE 15 FLOOR, TALAVERA OFFICE PARK, JALAN LETJEN TB SIMATUPANG, KAV. 22-26, CILANDAK BARA",0651-7550001,Semen Indonesia Group,ADIB SUAIB,TRUE,,,,,,,0,0,0,,010006609052000,11,,,0,2135747,2135747,0,0,,,FALSE,FALSE,,,616
2103579,"ASINDO KARSA JAYA, PT",RAYA DUSUN TRUNAJAYA KREBET SENGGRENG BULULAWANG,0,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,,11,,,0,2103579,2103579,0,0,,,FALSE,FALSE,,,299
CUS25040002,PT. LONTAR PAPYRUS PULP & PAPER INDUSTRY,"JL. IR JUANDA NO. 14, SIMPANG 3, SIPIN, KOTA BARU, KOTA JAMBI",085263867999,Company,RIKI NOVA SURYATMAJA,TRUE,,ANDRE MARTIN,,,,,0,0,0,,01.115.965.4-092.000,11,,,0,2130631,2130631,0,0,,,FALSE,FALSE,,,612
2103593,MAKMUR JAYA BERKAT BERSAM,"MARGOMULYO JAYA B NO.07, MANUKAN WETAN,TANDES, SURABAYA",0,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,,11,,,0,2103593,2103593,0,0,,,FALSE,FALSE,,,302
CUS24120009,"VARIA USAHA BETON, PT",KOMPLEK THE ROYAL BUSINESS PARK JL H.ANWAR HAMZAH BLOK F2-F3 TAMBAKOSO WARU SIDOAJO,,Semen Indonesia Group,,TRUE,,081252219188,,,,,0,0,0,,01.440.236.6-641.000,11,,marketing@variabeton.com,0,2121538,2121538,0,0,,,FALSE,FALSE,,,572
2103599,MULTI SARANA SUKSES PERKA,RUKO GRAND MAHAKAM RESIDENTJL SIRADJ SALMAN BLOK B NO 7,0,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,,11,,,0,2103599,2103599,0,0,,,FALSE,FALSE,,,304
2103611,"BUMI GRESIK, CV",JL RA KARTINI NO. 25 AB TLOGOPATUT,0,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,,11,,,0,2103611,2103611,0,0,,,FALSE,FALSE,,,307
2125276,PT PUTRA PRIMA SENTOSA,JL. RAYA PANDANLANDUNG 44 PANDAN LANDUNG WAGIR,081233470092,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,,11,,,"450,000,000",2125276,2125276,"310,665,096","139,334,904",23.11.2025,,FALSE,FALSE,,,385
2103751,"MITRA KIARA INDONESIA, PT",GEDUNG ARTHA GRAHA LT 20 JL. JENDERALSUDIRMAN KAV 52-53 SENA,085717050604,Company,BRAHIM,TRUE,,-,,,,,0,0,0,,-,11,-,mitra.kiara2019@gmail.com,"1,072,000,000",2103751,2103751,"1,070,300,407","1,699,593",05.12.2025,,FALSE,FALSE,,,332
CUS25090002,,,,,,FALSE,,,,,,,0,0,0,,,,,,0,,,0,0,,,FALSE,FALSE,,,639
2103642,"DAYASA ARIA PRIMA, PT",JL ABDUL MUIS NO. 30 PETOJO SELATAN GAMBIR JAKARTA PUSAT,0,Company,RIKI NOVA SURYATMAJA,TRUE,,BAPAK HAPPY,,,,,0,0,0,,,11,,,"4,000,000,000",2103642,2103642,"1,992,264,523","2,007,735,477",24.11.2025,,FALSE,FALSE,,,316
CUS24100002,PT. DELTAMAS PRIMA SENTOSA,"JL. RAYA SUMBER PASIR NO. 166, KEL. SUMBERPASIR, KEC. PAKIS, KAB. MALANG JAWA TIMUR 65154",0341-3053888,Company,PUTRA BAGUS FERMANSYAH,TRUE,,DANIEL ADISEPUTRO,,,,,0,0,0,,0833600752657000,11,,,0,2100720,2100720,0,0,,,FALSE,FALSE,,,546
2103622,"KRAKATAU SEMEN INDONESIA,",GRAHA SUCOFINDO LT.3JL. JEND A. YANI NO.106,081287632712,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,,11,,dicky.hartanto@sig.id,0,2103622,2103622,0,0,,,FALSE,FALSE,,,311
2103627,"SEKAWAN NIAGA JAYA, PT",JL. RAYA TERBOYO NO.03 RT.01 RW.01TERBOYO,08112913477,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,,11,,,0,2103627,2103627,0,0,,,FALSE,FALSE,,,312
2103630,KERJA SAMA OPERASI SEMEN,"GEDUNG UTAMA SEMEN INDONESIA JL. VETERAN, SIDOMORO, KAB. GRE",0,Company,ADIB SUAIB,TRUE,,,,,,,0,0,0,,,11,,,0,2103630,2103630,0,0,,,FALSE,FALSE,,,313
2101065,PETROKOPINDO CIPTA SELARA,JALAN RAYA ROOMO NO. 242,0,Company,RIKI NOVA SURYATMAJA,TRUE,,,,,,,0,0,0,,014399877641000,11,,,0,2101065,2101065,0,0,,,FALSE,FALSE,,,276
